cv_id,full_name,political_party
133971,Cheryl Trigozo Reátegui,Alianza para el Progreso
135030,Diana Carolina Gonzales Delgado,Avanza País
134654,Patricia Rosa Chirinos Venegas,Avanza País
137180,Juan Bartolome Burgos Oliveros,Avanza País
135035,Adriana Josefina Tudela Gutierrez,Avanza País
134984,Jose Daniel Williams Zapata,Avanza País
134835,Alejandro Enrique Cavero Alva,Avanza País
134965,Yessica Rosselli Amuruz Dulanto,Avanza País
135959,Enrique Wong Pujada,Podemos Perú
134315,Jose Luis Elias Avalos,Podemos Perú
137509,Jose Leon Luna Galvez,Podemos Perú
136588,Digna Calle Lobaton,Podemos Perú
136617,Carlos Antonio Anderson Ramirez,Podemos Perú
134798,Susel Ana Maria Paredes Pique,Partido Morado
136355,George Edward Malaga Trillo,Partido Morado
135686,Flor Aidee Pablo Medina,Partido Morado
137094,Javier Arce Alvarado,Perú Libre
134857,Gustavo Pacheco Villar,Acción Popular
133898,Leslye Lazo Villón,Acción Popular
134377,Luis Galarreta Velarde,Fuerza Popular
134656,Juan Carlos Ramírez,Avanza País
135353,Nieves Esmeralda Limachi Quispe,Perú Libre
134187,Nelcy Lidia Heidinger Ballesteros,Alianza para el Progreso
134557,Jose Bernardo Pazo Nunura,Somos Perú
135630,Isaac Mita Alanoca,Perú Libre
